(0, 0)
(1, 1)
(2, 2)
(3, 0)
(4, 1)
(5, 2)
(6, 3)
(7, 0)
(8, 1)
(9, 3)
(10, 0)
(11, 1)
(12, 0)
(13, 1)
(14, 0)
(15, 1)
(16, 0)
(17, 1)
(18, 0)
(19, 1)
(20, 0)
(30, 3)
(31, 1)
(32, 2)
(33, 3)
(34, 1)
(35, 2)
(36, 3)
(37, 2)
(38, 0)
(39, 3)
(40, 2)
(41, 0)
(42, 3)
(43, 2)
(44, 0)
(45, 2)
(46, 0)
(60, 2)
(62, 0)
(63, 2)
(64, 0)
(65, 1)
(66, 3)
(67, 2)
(68, 1)
(69, 3)
(70, 2)
(71, 1)
(72, 3)
(73, 2)
(74, 3)
(75, 2)
(76, 3)
(90, 1)
(95, 0)
(96, 1)
(97, 0)
(98, 2)
(99, 3)
(100, 1)
(101, 0)
(102, 2)
(103, 3)
(104, 1)
(105, 0)
(106, 2)
(107, 3)
(108, 1)
(109, 0)
(110, 2)
(111, 3)
(112, 1)
(113, 0)
(114, 2)
(115, 3)
(116, 0)
(117, 2)
(118, 3)
(119, 0)
(120, 2)
(121, 3)
(122, 0)
(123, 2)
(124, 3)
(125, 0)
(126, 2)
Average waiting time 8.94 
