(0, 0)
(3, 1)
(7, 2)
(11, 3)
(15, 1)
(19, 2)
(20, 3)
(24, 1)
(28, 3)
(130, 3)
(134, 1)
(138, 2)
(142, 0)
(146, 3)
(150, 1)
(154, 2)
(158, 0)
(162, 3)
(166, 1)
(170, 2)
(174, 0)
(178, 3)
(182, 2)
(186, 0)
(187, 3)
(191, 2)
(195, 3)
(199, 2)
(203, 3)
(207, 2)
(211, 3)
(214, 2)
(260, 2)
(264, 0)
(268, 1)
(272, 3)
(276, 0)
(280, 1)
(284, 3)
(288, 0)
(292, 1)
(296, 0)
(300, 1)
(301, 0)
(350, 1)
(358, 0)
(362, 2)
(366, 3)
(370, 1)
(372, 0)
(376, 2)
(380, 3)
(384, 0)
(388, 2)
(392, 3)
(396, 2)
(400, 3)
(404, 2)
(408, 3)
(412, 2)
(416, 3)
(420, 2)
(424, 3)
(428, 2)
(432, 3)
(436, 2)
(440, 3)
(444, 2)
(448, 3)
(452, 2)
(456, 3)
(460, 2)
(464, 3)
(468, 2)
(472, 3)
(476, 2)
(480, 3)
(484, 2)
(488, 3)
Average waiting time 28.06 
